day_name,date,container_number,line,movement_type,driver,origin,time_out,destination,time_in,status,type,size,remarks,shifting_price,haulage_price
Sat,2023-07-22,SUDU8070615,MAERSK,Collection,IPHS,LML,10:20:00.000000000,IPHS,10:28:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Wed,2023-08-23,MSFU8627967,MAERSK,Collection,IPHS,LML,14:25:00.000000000,IPHS,14:35:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Wed,2023-08-30,MSFU8626600,MAERSK,Collection,IPHS,LML,15:10:00.000000000,IPHS,15:25:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Fri,2023-09-22,GESU9511496,CMA CGM,Shifting,NA,IPHS,08:49:00.000000000,IPHS,10:39:00.000000000,Empty,Reefer,40',PEVASA,35.0,0.0
Thu,2023-09-28,GESU1189038,CMA CGM,Collection,IPHS,LML,13:45:00.000000000,IPHS,13:55:00.000000000,Empty,Dry,20',CMA CGM,35.0,60.0
Thu,2023-10-05,SUDU6013848,MAERSK,Collection,IPHS,LML,10:17:00.000000000,IPHS,10:30:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Thu,2023-10-05,SUDU5276578,MAERSK,Collection,IPHS,LML,12:54:00.000000000,IPHS,13:06:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Thu,2023-10-05,SUDU5244040,MAERSK,Collection,IPHS,LML,11:15:00.000000000,IPHS,11:23:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Thu,2023-10-05,SUDU8080629,MAERSK,Collection,IPHS,LML,11:35:00.000000000,IPHS,11:45:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,MSFU0002546,MAERSK,Collection,IPHS,LML,14:22:00.000000000,IPHS,14:37:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,SUDU5237484,MAERSK,Collection,IPHS,LML,13:54:00.000000000,IPHS,14:08:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,SUDU8165310,MAERSK,Collection,IPHS,LML,12:14:00.000000000,IPHS,12:25:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,SUDU8183102,MAERSK,Collection,IPHS,LML,10:50:00.000000000,IPHS,11:12:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,SUDU6031878,MAERSK,Collection,IPHS,LML,11:23:00.000000000,IPHS,11:35:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-06,SUDU8065500,MAERSK,Collection,IPHS,LML,11:25:00.000000000,IPHS,11:45:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Thu,2023-11-09,SUDU6036102,MAERSK,Collection,IPHS,LML,10:10:00.000000000,IPHS,10:48:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Thu,2023-11-09,SUDU5285353,MAERSK,Collection,IPHS,LML,10:07:00.000000000,IPHS,10:17:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Fri,2023-11-10,SUDU8183592,MAERSK,Collection,IPHS,LML,15:31:00.000000000,IPHS,15:50:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Sat,2023-11-11,SUDU5222083,MAERSK,Collection,IPHS,LML,10:00:00.000000000,IPHS,10:10:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Fri,2023-11-17,SUDU8236239,MAERSK,Collection,IPHS,LML,10:30:00.000000000,IPHS,10:40:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Fri,2023-11-17,SUDU8243095,MAERSK,Collection,IPHS,LML,09:09:00.000000000,IPHS,09:33:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-11-20,SUDU8244580,MAERSK,Collection,IPHS,LML,08:00:00.000000000,IPHS,08:10:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Sat,2023-12-02,SUDU8206830,MAERSK,Collection,IPHS,LML,11:39:00.000000000,IPHS,11:52:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Sat,2023-12-02,SUDU8245101,MAERSK,Collection,IPHS,LML,13:55:00.000000000,IPHS,14:05:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Sat,2023-12-02,TTNU8034849,IOT,Collection,THIRD PARTY,HD YARD,09:05:00.000000000,IPHS,09:10:00.000000000,Empty,Reefer,40',IOT,35.0,0.0
Mon,2023-12-04,MNBU3942263,MAERSK,Collection,IPHS,LML,11:05:00.000000000,IPHS,11:17:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MWCU5267654,MAERSK,Collection,IPHS,LML,12:11:00.000000000,IPHS,12:29:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MNBU4240847,MAERSK,Collection,IPHS,LML,11:07:00.000000000,IPHS,11:24:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MNBU4254835,MAERSK,Collection,IPHS,LML,12:02:00.000000000,IPHS,12:15:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MNBU3433097,MAERSK,Collection,IPHS,LML,12:28:00.000000000,IPHS,12:42:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MNBU0470693,MAERSK,Collection,IPHS,LML,09:26:00.000000000,IPHS,09:45:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,MNBU0173859,MAERSK,Collection,IPHS,LML,11:39:00.000000000,IPHS,11:55:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
Mon,2023-12-04,SUDU8053428,MAERSK,Collection,IPHS,LML,10:39:00.000000000,IPHS,10:54:00.000000000,Empty,Reefer,40',MAERSKLINE,35.0,90.0
